Campaign report
6 June 2024 - 25 May 2025
Month,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Bid strategy type,Status,Status reasons,Conv. value,Cost,Conv. value / cost,Budget Spent %,Target ROAS,Conversions,Conv. rate,Impr.,Clicks,CTR,Cost / conv.,Search impr. share,Avg. order value,Search lost IS (budget),Campaign Id,Search lost IS (rank),New customers,Search top IS,Search abs. top IS,Click share,Impr. (Abs. Top) %
May 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
June 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
July 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
August 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
September 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
October 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
November 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
December 2024,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
January 2025,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
February 2025,Enabled,[ADL] Red Light Hat,100.00, --,Daily,GBP,Manual CPC,Eligible,unknown,0.00,0.00,0.00,0.00%, --,0.00,0.00%,0,0, --,0.00, --,0, --,22585331712, --,0.00, --, --, --, --
