Campaign report
6 June 2024 - 25 May 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Bid strategy type,Status,Status reasons,Conv. value,Cost,Conv. value / cost,Budget Spent %,Target ROAS,Conversions,Conv. rate,Impr.,Clicks,CTR,Cost / conv.,Search impr. share,Avg. order value,Search lost IS (budget),Campaign Id,Search lost IS (rank),New customers,Search top IS,Search abs. top IS,Click share,Impr. (Abs. Top) %
Removed,Performance Max-Canada,12.68, --,Daily,GBP,Maximise Conversions,Removed,campaign removed; most asset groups limited by policy,0.00,136.91,0.00,2.96%, --,0.00,0.00%,"16,773",156,0.93%,0.00,28.50%,0,1.83%,21720708915,69.67%,0.00, --, --,< 10%, --
Paused,007 | UK Shopping - Performance Max,20.00, --,Daily,GBP,Maximise Conversion Value,Paused,campaign paused; unknown,"37,775.62",13080.81,2.89,179.19%, --,147.99,1.47%,"829,860","7,941",0.96%,88.39,34.00%,291.98,2.98%,21832374685,63.01%,0.00, --, --,< 10%, --
Removed,7/7/24,15.59, --,Daily,GBP,Maximise Conversion Value,Removed,campaign removed; most asset groups limited by policy,0.00,77.79,0.00,1.37%, --,0.00,0.00%,"11,896",116,0.98%,0.00, --,0, --,21450173758, --,0.00, --, --,14.33%, --
Paused,AUS & NZ Shopping - Performance Max,5.00, --,Daily,GBP,Maximise Conversion Value,Paused,campaign paused; unknown; unknown,0.00,179.03,0.00,9.81%, --,0.00,0.00%,"12,519",163,1.30%,0.00,19.88%,0,10.70%,22139448844,69.42%,0.00, --, --,< 10%, --
Paused,004 | NT | RLI | Standard Shopping | UK | Cap,70.00, --,Daily,GBP,Target ROAS,Paused,campaign paused; unknown,"1,064.35",486.12,2.19,1.90%,300%,4.01,1.09%,"57,491",368,0.64%,121.30,46.29%,335.20,15.66%,22349932762,38.05%,0.00, --,< 10%,28.39%, --
Removed,Performance Max-USA,15.00, --,Daily,GBP,Maximise Conversion Value (Target ROAS),Removed,campaign removed; unknown,304.10,144.93,2.10,2.65%,250%,1.00,0.66%,"6,406",144,2.25%,144.93,< 10%,0,11.35%,21720814014,81.35%,0.00, --, --,< 10%, --
Paused,002 | NT | RLI | Search | UK | General,40.00, --,Daily,GBP,Maximise Conversion Value (Target ROAS),Paused,campaign paused; unknown,0.00,227.78,0.00,1.56%,300%,0.00,0.00%,"2,090",125,5.98%,0.00,< 10%,0,54.86%,22350047242,36.18%,0.00,< 10%,< 10%,< 10%,37.38%
Enabled,001 | NT | RLI | Search | UK | Cap (MaxConv Value),20.00, --,Daily,GBP,Maximise Conversion Value,Ended,campaign ended; unknown,0.00,175.66,0.00,2.41%, --,0.00,0.00%,835,46,5.51%,0.00,44.59%,0,12.01%,22378004632,43.40%,0.00,31.58%,14.18%,21.71%,26.41%
Paused,005 | NT | RLI | PMax Shopping | UK | Cap,30.00, --,Daily,GBP,Maximise Conversion Value (Target ROAS),Paused,campaign paused; unknown,"4,034.45",1913.46,2.11,17.47%,300%,16.05,1.70%,"119,510",865,0.72%,119.23,38.98%,317.31,0.00%,22346250233,61.02%,0.00, --, --,23.77%, --
Paused,USA Shopping - Performance Max,5.00, --,Daily,GBP,Maximise Conversion Value,Paused,campaign paused; unknown; unknown,0.00,204.16,0.00,11.19%, --,0.00,0.00%,"20,093",90,0.45%,0.00,16.52%,0,6.63%,22139326303,76.84%,0.00, --, --,< 10%, --
