Campaign performance,,,
22 May 2024 - 28 May 2025,,,
Month,Conv. value,Currency code,Cost
May 2024,3786.89,AUD,208.34
June 2024,22916.15,AUD,668.78
July 2024,26463.05,AUD,668.15
August 2024,23491.37,AUD,641.71
September 2024,5180.57,AUD,264.21
October 2024,10423.58,AUD,1349.3
November 2024,14423.82,AUD,1702.71
December 2024,9936.6,AUD,1223.85
January 2025,16198.84,AUD,805.07
February 2025,12469.39,AUD,1076.99
March 2025,3363.98,AUD,600.56
April 2025,4461.04,AUD,576.28
May 2025,4651.4,AUD,749.21
